year,date,median,low,high
2019,2020/3/17,6,0,20
2019,2020/3/18,8,0,26
2019,2020/3/19,9,0,29
2019,2020/3/20,9,0,30
2019,2020/3/21,9,0,29
2019,2020/3/22,10,0,31
2019,2020/3/23,8,0,25
2019,2020/3/24,6,0,21
2019,2020/3/25,9,0,28
2019,2020/3/26,9,0,29
2019,2020/3/27,9,0,30
2019,2020/3/28,10,0,33
2019,2020/3/29,10,0,31
2019,2020/3/30,9,0,28
2019,2020/3/31,6,0,21
2019,2020/4/1,9,0,28
2019,2020/4/2,9,0,30
2019,2020/4/3,10,0,32
2019,2020/4/4,10,0,31
2019,2020/4/5,10,0,30
2019,2020/4/6,9,0,27
2019,2020/4/7,7,0,21
2019,2020/4/8,9,0,29
2019,2020/4/9,9,0,29
2019,2020/8/12,8,0,29
2019,2020/8/13,8,0,27
2019,2020/8/14,8,0,26
2019,2020/8/15,9,0,30
2019,2020/8/16,9,0,29
2019,2020/8/17,7,0,24
2019,2020/8/18,6,0,21
2019,2020/8/19,8,0,25
2019,2020/8/20,8,0,26
2019,2020/8/21,8,0,26
2019,2020/8/22,8,0,25
2019,2020/8/23,9,0,26
2019,2020/8/24,7,0,24
2019,2020/8/25,6,0,20
2019,2020/8/26,8,0,25
2019,2020/8/27,9,0,27
2019,2020/8/28,8,0,25
2019,2020/8/29,9,0,28
2019,2020/8/30,9,0,31
2019,2020/8/31,7,0,25
2019,2020/9/1,6,0,23
2019,2020/9/2,6,0,22
2019,2020/9/3,9,0,30
2019,2020/9/4,10,0,31
2019,2020/9/5,10,0,31
2019,2020/9/6,11,0,32
2019,2020/9/7,9,0,28
2019,2020/9/8,7,0,22
2019,2020/9/9,10,0,31
2019,2020/9/10,10,0,32
2019,2020/9/11,10,0,32
2020,2020/9/26,3,0,12
2020,2020/9/27,3,0,10
2020,2020/9/28,3,0,11
2020,2020/9/29,3,0,10
2020,2020/9/30,4,0,12
2020,2020/10/1,4,0,12
2020,2020/10/2,4,0,13
2020,2020/10/3,3,0,12
2020,2020/10/4,2,0,8
2020,2020/10/5,3,0,10
2020,2020/10/6,3,0,11
2020,2020/10/7,4,0,12
2020,2020/10/8,4,0,12
2020,2020/10/9,4,0,13
2020,2020/10/10,3,0,12
2020,2020/10/11,3,0,10
2020,2020/10/12,3,0,9
2020,2020/10/13,3,0,10
2020,2020/10/14,4,0,12
2020,2020/10/15,4,0,12
