year,date,median,low,high
2019,2020/2/21,4,0,20
2019,2020/2/22,4,0,20
2019,2020/2/23,3,0,17
2019,2020/2/24,3,0,15
2019,2020/2/25,4,0,19
2019,2020/2/26,3,0,19
2019,2020/2/27,3,0,18
2019,2020/2/28,4,0,19
2019,2020/3/1,4,0,18
2019,2020/3/2,3,0,16
2019,2020/3/3,3,0,16
2019,2020/3/4,3,0,16
2019,2020/3/5,4,0,19
2019,2020/3/6,4,0,19
2019,2020/3/7,4,0,20
2019,2020/3/8,4,0,19
2019,2020/3/9,3,0,16
2019,2020/3/10,2,0,14
2019,2020/3/11,4,0,21
2019,2020/3/12,3,0,18
2019,2020/3/13,3,0,19
2019,2020/3/14,4,0,20
2019,2020/3/15,4,0,20
2019,2020/3/16,3,0,17
2019,2020/3/17,3,0,15
2019,2020/3/18,3,0,19
2019,2020/3/19,4,0,20
2019,2020/3/20,4,0,20
2019,2020/3/21,4,0,19
2019,2020/3/22,4,0,20
2019,2020/3/23,3,0,17
2019,2020/3/24,3,0,16
2019,2020/3/25,3,0,18
2019,2020/3/26,4,0,19
2019,2020/3/27,4,0,19
2019,2020/3/28,4,0,20
2019,2020/3/29,4,0,19
2019,2020/3/30,3,0,16
2019,2020/3/31,3,0,15
2019,2020/4/1,4,0,19
2019,2020/4/2,4,0,19
2019,2020/4/3,4,0,20
2019,2020/4/4,4,0,20
2019,2020/4/5,4,0,19
2019,2020/4/6,3,0,18
2019,2020/4/7,3,0,17
2019,2020/4/8,4,0,20
2019,2020/4/9,4,0,21
2019,2020/4/10,4,0,21
2019,2020/4/11,4,0,21
2019,2020/4/12,4,0,20
2020,2020/1/24,4,0,18
2020,2020/1/25,3,0,14
2020,2020/1/26,3,0,16
2020,2020/1/27,4,0,20
2020,2020/1/28,3,0,17
2020,2020/1/29,4,0,18
2020,2020/1/30,4,0,19
2020,2020/1/31,4,0,20
2020,2020/2/1,3,0,18
2020,2020/2/2,3,0,17
2020,2020/2/3,4,0,19
2020,2020/2/4,4,0,20
2020,2020/2/5,4,0,19
2020,2020/2/6,4,0,19
2020,2020/2/7,4,0,18
2020,2020/2/8,3,0,18
2020,2020/2/9,3,0,17
2020,2020/2/10,4,0,20
2020,2020/2/11,4,0,19
2020,2020/2/12,4,0,19
2020,2020/2/13,4,0,19
2020,2020/2/14,4,0,17
2020,2020/2/15,3,0,15
2020,2020/2/16,3,0,15
2020,2020/2/17,3,0,15
2020,2020/2/18,3,0,16
2020,2020/2/19,3,0,16
2020,2020/2/20,4,0,18
2020,2020/2/21,3,0,16
2020,2020/2/22,3,0,16
2020,2020/2/23,3,0,17
2019,2020/4/13,4,0,18
2019,2020/4/14,3,0,17
2019,2020/4/15,4,0,20
2019,2020/4/16,4,0,21
2019,2020/4/17,4,0,21
2019,2020/4/18,4,0,20
2019,2020/4/19,4,0,20
2019,2020/4/20,3,0,18
2019,2020/4/21,3,0,16
2019,2020/4/22,4,0,19
2019,2020/4/23,3,0,18
2019,2020/4/24,4,0,20
2019,2020/4/25,3,0,19
2019,2020/4/26,4,0,19
2019,2020/4/27,3,0,19
2019,2020/4/28,3,0,17
2019,2020/4/29,4,0,20
2019,2020/4/30,4,0,18
2019,2020/5/1,4,0,20
2019,2020/5/2,4,0,20
2019,2020/5/3,5,0,22
2019,2020/5/4,4,0,18
2019,2020/5/5,3,0,16
2019,2020/5/6,4,0,21
2019,2020/5/7,4,0,18
2019,2020/5/8,4,0,21
2019,2020/5/9,4,0,20
2019,2020/5/10,4,0,21
2019,2020/5/11,3,0,18
2019,2020/5/12,3,0,15
2019,2020/5/13,4,0,20
2019,2020/12/18,4,0,18
2019,2020/12/19,3,0,16
2019,2020/12/20,4,0,18
2019,2020/12/21,3,0,16
2019,2020/12/22,3,0,16
2019,2020/12/23,4,0,21
2019,2020/12/24,4,0,19
2019,2020/12/25,2,0,11
2019,2020/12/26,3,0,13
2019,2020/12/27,3,0,15
2019,2020/12/28,3,0,15
2019,2020/12/29,2,0,14
2019,2020/12/30,3,0,17
2019,2020/12/31,4,0,21
2020,2020/1/6,4,0,19
2020,2020/1/7,4,0,19
2020,2020/1/8,4,0,19
2020,2020/1/9,4,0,19
2020,2020/1/10,4,0,20
2020,2020/1/11,4,0,19
2020,2020/1/12,3,0,17
2020,2020/1/13,4,0,20
2020,2020/1/14,4,0,18
2020,2020/1/15,4,0,19
2020,2020/1/16,4,0,18
2020,2020/1/17,4,0,19
2020,2020/1/18,3,0,16
2020,2020/1/19,3,0,15
2020,2020/1/20,3,0,15
2020,2020/1/21,4,0,17
2020,2020/1/22,4,0,18
2020,2020/1/23,4,0,18
2020,2020/7/29,2,0,10
2020,2020/7/30,2,0,11
2020,2020/7/31,2,0,11
2020,2020/8/1,2,0,10
2020,2020/8/2,2,0,10
2020,2020/8/3,2,0,12
2020,2020/8/4,2,0,9
2020,2020/8/5,2,0,11
2020,2020/8/6,2,0,11
2020,2020/8/7,2,0,11
2020,2020/8/8,2,0,11
2020,2020/8/9,1,0,9
2020,2020/8/10,2,0,10
2020,2020/8/11,2,0,10
2020,2020/8/12,2,0,10
2020,2020/8/13,2,0,10
2020,2020/8/14,2,0,11
2020,2020/8/15,2,0,10
2020,2020/8/16,1,0,8
2020,2020/8/17,2,0,10
2020,2020/8/18,2,0,10
2020,2020/8/19,2,0,10
2020,2020/8/20,2,0,10
2020,2020/8/21,2,0,12
2020,2020/8/22,2,0,11
2020,2020/8/23,1,0,9
2020,2020/8/24,2,0,10
2020,2020/8/25,2,0,10
2020,2020/8/26,2,0,9
2020,2020/8/27,2,0,9
2020,2020/8/28,2,0,10
2019,2020/6/14,4,0,18
2019,2020/6/15,3,0,15
2019,2020/6/16,3,0,14
2019,2020/6/17,4,0,17
2019,2020/6/18,3,0,15
2019,2020/6/19,4,0,17
2019,2020/6/20,4,0,17
2019,2020/6/21,4,0,17
2019,2020/6/22,3,0,15
2019,2020/6/23,3,0,15
2019,2020/6/24,4,0,17
2019,2020/6/25,3,0,15
2019,2020/6/26,4,0,17
2019,2020/6/27,4,0,17
2019,2020/6/28,4,0,18
2019,2020/6/29,3,0,15
2019,2020/6/30,3,0,14
2019,2020/7/1,3,0,16
2019,2020/7/2,4,0,17
2019,2020/7/3,3,0,18
2019,2020/7/4,2,0,14
2019,2020/7/5,3,0,14
2019,2020/7/6,3,0,14
2019,2020/7/7,2,0,13
2019,2020/7/8,3,0,16
2019,2020/7/9,4,0,17
2019,2020/7/10,3,0,16
2019,2020/7/11,3,0,16
2019,2020/7/12,4,0,17
2019,2020/7/13,3,0,15
2019,2020/7/14,2,0,13
2019,2020/7/15,3,0,16
2019,2020/8/16,3,0,15
2019,2020/8/17,3,0,15
2019,2020/8/18,2,0,13
2019,2020/8/19,3,0,16
2019,2020/8/20,3,0,15
2019,2020/8/21,3,0,14
2019,2020/8/22,3,0,14
2019,2020/8/23,3,0,14
2019,2020/8/24,3,0,14
2019,2020/8/25,2,0,13
2019,2020/8/26,3,0,15
2019,2020/8/27,3,0,16
2019,2020/8/28,3,0,15
2019,2020/8/29,3,0,16
2019,2020/8/30,4,0,17
2019,2020/8/31,3,0,15
2019,2020/9/1,2,0,13
2019,2020/9/2,3,0,15
2019,2020/9/3,4,0,18
2019,2020/9/4,4,0,19
2019,2020/9/5,4,0,19
2019,2020/9/6,4,0,20
2019,2020/9/7,4,0,18
2019,2020/9/8,3,0,17
2019,2020/9/9,4,0,21
2019,2020/9/10,4,0,20
2019,2020/9/11,4,0,23
2019,2020/9/12,4,0,27
2019,2020/9/13,4,0,29
2019,2020/9/14,4,0,25
2019,2020/9/15,3,0,23
2020,2020/8/29,2,0,10
2020,2020/8/30,1,0,8
2020,2020/8/31,2,0,10
2020,2020/9/1,2,0,10
2020,2020/9/2,2,0,10
2020,2020/9/3,2,0,11
2020,2020/9/4,2,0,11
2020,2020/9/5,2,0,11
2020,2020/9/6,1,0,9
2020,2020/9/7,1,0,9
2020,2020/9/8,2,0,10
2020,2020/9/9,2,0,11
2020,2020/9/10,2,0,10
2020,2020/9/11,2,0,11
2020,2020/9/12,2,0,11
2020,2020/9/13,1,0,9
2020,2020/9/14,2,0,10
2020,2020/9/15,2,0,10
2020,2020/9/16,2,0,10
2020,2020/9/17,2,0,10
2020,2020/9/18,2,0,10
2020,2020/9/19,2,0,10
2020,2020/9/20,1,0,9
2020,2020/9/21,2,0,9
2020,2020/9/22,2,0,10
2020,2020/9/23,2,0,11
2020,2020/9/24,2,0,11
2020,2020/9/25,2,0,11
2020,2020/9/26,2,0,11
2020,2020/9/27,1,0,9
2020,2020/9/28,2,0,11
2019,2020/9/16,4,0,21
2019,2020/9/17,4,0,20
2019,2020/9/18,4,0,20
2019,2020/9/19,4,0,20
2019,2020/9/20,4,0,20
2019,2020/9/21,3,0,16
2019,2020/9/22,3,0,16
2019,2020/9/23,4,0,19
2019,2020/9/24,4,0,19
2019,2020/9/25,4,0,19
2019,2020/9/26,3,0,18
2019,2020/9/27,3,0,17
2019,2020/9/28,3,0,15
2019,2020/9/29,3,0,14
2019,2020/9/30,3,0,17
2019,2020/10/1,3,0,17
2019,2020/10/2,3,0,18
2019,2020/10/3,3,0,21
2019,2020/10/4,4,0,23
2019,2020/10/5,3,0,21
2019,2020/10/6,3,0,22
2019,2020/10/7,3,0,20
2019,2020/10/8,4,0,19
2019,2020/10/9,3,0,15
2019,2020/10/10,3,0,17
2019,2020/10/11,4,0,17
2019,2020/10/12,3,0,14
2019,2020/10/13,3,0,14
2019,2020/10/14,3,0,14
2019,2020/10/15,3,0,17
2019,2020/10/16,3,0,16
2019,2020/10/17,4,0,18
2019,2020/10/18,4,0,17
2019,2020/10/19,3,0,15
2019,2020/10/20,3,0,16
2019,2020/10/21,3,0,17
2019,2020/10/22,3,0,17
2019,2020/10/23,4,0,18
2019,2020/10/24,4,0,18
2019,2020/10/25,4,0,19
2019,2020/10/26,3,0,15
2019,2020/10/27,2,0,15
2019,2020/10/28,4,0,18
2019,2020/10/29,4,0,17
2019,2020/10/30,4,0,17
2019,2020/10/31,4,0,16
2019,2020/11/1,4,0,17
2019,2020/11/2,3,0,16
2019,2020/11/3,2,0,14
2019,2020/11/4,3,0,17
2019,2020/11/5,3,0,16
2019,2020/11/6,3,0,16
2019,2020/11/7,3,0,16
2019,2020/11/8,3,0,15
2019,2020/11/9,3,0,15
2019,2020/11/10,2,0,14
2019,2020/11/11,3,0,16
2019,2020/11/12,3,0,16
2019,2020/11/13,3,0,17
2019,2020/11/14,3,0,17
2019,2020/11/15,4,0,19
2019,2020/11/16,3,0,21
2020,2020/2/24,4,0,20
2020,2020/2/25,3,0,15
2020,2020/2/26,4,0,21
2020,2020/2/27,4,0,20
2020,2020/2/28,4,0,19
2020,2020/2/29,3,0,16
2020,2020/3/1,2,0,15
2020,2020/3/2,3,0,21
2020,2020/3/3,3,0,17
2020,2020/3/4,3,0,17
2020,2020/3/5,4,0,18
